FOOD COMMODITY GROUP;Food commodity ITEM;Water Footprint liters water/kg o liter of food ITEM;Uncertainty    low  (L)  high (H);Suggested WF value;Food commodity TYPOLOGY;Water Footprint cc water/g o cc of food TYPOLOGY;Food commodity sub-TYPOLOGY;Water Footprint cc water/g o cc of food sub-TYPOLOGY;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;TOMATO ARRABBIATA;155;L;ok item;TOMATO SAUCE;151;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;TOMATO JUICE;267;L;ok item;JUICE;1019;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;TOMATO JUICE CONCENTRATED*;1069;L;item matching typology;JUICE CONCENTRATED* (tomato);1069;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;TOMATO PASTE;855;L;ok item;TOMATO PUREE,PEELED, CHOPPED;713;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;TOMATO PEELED;267;L;ok item;TOMATO PUREE,PEELED, CHOPPED;713;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;TOMATO PUREE;713;L;ok item;TOMATO PUREE,PEELED, CHOPPED;713;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;WHEAT FLOUR;1849;L;ok item;GRAIN FLOUR;1889;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;WHEAT GLUTEN;4189;L;ok item;PROCESSED GRAINS (grouts, malt);2133;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;WHEAT PELLETS;2036;L;ok item;PROCESSED GRAINS (grouts, malt);2133;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;WHEAT STARCH;1436;L;ok item;STARCH;1591;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;WHOLEGRAIN CRACKERS**;617;L;ok item;CRACKERS;1258;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;WINE*;524;L;item matching typology;WINE*;524;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;YEAST COMPRESSED*;51;H;item matching typology;YEAST COMPRESSED*;51;;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;ASS MEAT;50274;L;ok item;EQUINE MEAT;51779;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;ASS OFFAL;3152;L;ok item;OFFAL, FAT, LIVER;3152;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;BACON;6116;L;ok item;PORK CURED MEAT;6177;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;BEEF BONE FREE MEAT*;15139;L;item matching typology;BEEF BONE FREE MEAT*;15139;;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;BEEF CURED MEAT;23799;L;ok item;BEEF CURED MEAT;23799;;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;BEEF LIVER;7746;L;ok item;OFFAL, FAT, LIVER;3152;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;BEEF MEAT WITH BONE;10943;L;ok item;BEEF MEAT WITH BONE;10943;;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;BEEF OFFAL;11155;L;ok item;OFFAL, FAT, LIVER;3152;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;BUTTER*;5659;L;item matching typology;BUTTER*;5659;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;BUTTERED MILK;1599;L;ok item;MILK;1599;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;CHEESE;5253;L;ok item;CHEESE;5253;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;CHEESE BLUE-VEINED;5060;L;ok item;CHEESE;5253;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;CHEESE GRATED;5060;L;ok item;CHEESE;5253;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;CHICKEN BONE FREE MEAT;3960;L;ok item;POULTRY BONE FREE MEAT;4325;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;CHICKEN MEAT WITH BONE*;3330;L;item matching typology;POULTRY MEAT WITH BONE* (chicken);3330;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;COW MILK;1260,5;L;ok item;MILK;1599;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;CREAM;3838;L;ok item;CHEESE;5253;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;CURED HAM BONE FREE;9850;H;better typology;PORK CURED MEAT;6177;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;CURED HAM WITH BONE;5798;L;ok item;PORK CURED MEAT;6177;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;CURED PORK BONE FREE;6238;L;ok item;PORK CURED MEAT;6177;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;CURED SHOULDERS WITH BONE;5798;L;ok item;PORK CURED MEAT;6177;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;DUCK BONE FREE MEAT;4325;L;ok item;POULTRY BONE FREE MEAT;4325;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;EGG YOLKS;3270;L;ok item;EGGS & DERIVATES;3270;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;EGGS;2562;L;ok item;EGGS & DERIVATES;3270;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;EGGS SHELLED;3632;L;ok item;EGGS & DERIVATES;3270;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;FRESH HAM WITH BONE;5677;L;ok item;PORK MEAT WITH BONE;5677;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;FRESH SHOULDERS WITH BONE;5677;L;ok item;PORK MEAT WITH BONE;5677;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;GOAT BONE FREE MEAT*;4160;L;item matching typology;GOAT BONE FREE MEAT*;4160;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;GOAT OFFAL;3152;L;ok item;OFFAL, FAT, LIVER;3152;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;GOOSE BONE FREE MEAT;4325;L;ok item;POULTRY BONE FREE MEAT;4325;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;GRAN MORAVIA;2067;H;better typology;CHEESE;5253;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;GUINEA BONE FREE MEAT;4325;L;ok item;POULTRY BONE FREE MEAT;4325;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;HARD AND SEMI-HARD CHEESE;12139;H;better typology;CHEESE;5253;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;HINNY MEAT;50274;L;ok item;EQUINE MEAT;51779;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;HINNY OFFAL;3152;L;ok item;OFFAL, FAT, LIVER;3152;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;HORSE MEAT;50274;L;ok item;EQUINE MEAT;51779;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;HORSE OFFAL;3152;L;ok item;OFFAL, FAT, LIVER;3152;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;KEPHIR;1599;L;ok item;MILK;1599;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;LAMB BONE FREE MEAT*;10412;L;item matching typology;LAMB BONE FREE MEAT*;10412;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;LAMB MEAT WITH BONE*;4362;L;item matching typology;LAMB MEAT WITH BONE*;4362;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;MASCARPONE;6100;H;better typology;CHEESE;5253;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;MEALWORMS*;4341;H;item matching typology;EDIBLE INSECTS* (mealworms);4341;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;MILK ACID;1599;L;ok item;MILK;1599;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;MILK CREAMY;1898;L;ok item;MILK;1599;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;MILK POWDER;4750;L;ok item;MILK POWDER;4750;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;MOZZARELLA;9410;H;better typology;CHEESE;5253;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;MULE MEAT;50274;L;ok item;EQUINE MEAT;51779;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;MULE OFFAL;3152;L;ok item;OFFAL, FAT, LIVER;3152;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;PARMIGIANO REGGIANO;10200;H;better typology;CHEESE;5253;-;-;;;;;;;;;;;;;;;;;
